Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0.0,Sat Jun 09 20:04:00 +0000 2018,0.0,1.0,0.0,"Would you describe yourself as a feminist?
#HearHer https://t.co/RZh8XfEria",1,BBC
0.3612,Sat Jun 09 19:02:05 +0000 2018,0.0,0.878,0.122,"What is it like being Germaine Greer? This observational documentary spends time with her and finds out.

Germaine… https://t.co/YauZn2kit4",2,BBC
0.0,Sat Jun 09 18:04:03 +0000 2018,0.0,1.0,0.0,"The cast of @QueerEye brought a bag of goodies along to @BBCR1's #BiggestWeekend 😍🎁

Here's what @tanfrance,… https://t.co/c82OxTDXfI",3,BBC
0.5719,Sat Jun 09 17:01:05 +0000 2018,0.0,0.829,0.171,"One hundred years after some women won the right to vote, @ScarlettMoffatt tells the story of the suffragettes. https://t.co/B8gr3KbzkJ",4,BBC
0.4019,Sat Jun 09 16:04:03 +0000 2018,0.156,0.623,0.222,"A year on from the Grenfell Tower fire, Sean and his charity have been supporting children affected by the tragedy,… https://t.co/GXtypl36BW",5,BBC
-0.7783,Sat Jun 09 15:02:02 +0000 2018,0.327,0.673,0.0,One shocking day of sexual violence from the police altered the suffragettes' political strategy forever.… https://t.co/O1pfqAhXLa,6,BBC
0.7717,Sat Jun 09 14:04:02 +0000 2018,0.0,0.472,0.528,❤️️ This is what love looks like. https://t.co/Qle1eoBU5x,7,BBC
0.3612,Sat Jun 09 13:24:03 +0000 2018,0.0,0.815,0.185,"😆 @ChanningTatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",8,BBC
0.0,Sat Jun 09 13:03:06 +0000 2018,0.0,1.0,0.0,"Fifty nations are now taking action to reduce plastic pollution, according to the biggest report so far from the… https://t.co/cz3KvhuKb4",9,BBC
0.0,Sat Jun 09 12:23:25 +0000 2018,0.0,1.0,0.0,RT @BBCNews: The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's official birthd…,10,BBC
